Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
006100,2.27672822800002, -75.555400081,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27207665200001, -75.558358303,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.26298026, -75.560492477,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27207665200001, -75.558358303,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.263062122, -75.560558278,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.28521710899995, -75.55502735,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.262872414, -75.560969245,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27207665200001, -75.558358303,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27207665200001, -75.558358303,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27672822999999, -75.555398396,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
